algs,dataset,weighted,optimized,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
(rf),breast_cancer,False,False,0.96,0.95,0.96,0.95,0.96,0.02,0.11
(mlp)_opt,breast_cancer,False,True,0.97,0.97,0.97,0.97,0.96,0.02,0.27
(mlp),breast_cancer,False,False,0.95,0.95,0.94,0.94,0.95,0.02,0.28
(svm_knn_mnb)_w_opt,breast_cancer,True,True,0.96,0.94,0.96,0.95,0.96,0.02,0.08
(svm_knn_mnb)_opt,breast_cancer,False,True,0.95,0.95,0.95,0.95,0.96,0.02,0.06
(svm_knn_mnb)_w,breast_cancer,True,False,0.96,0.96,0.96,0.96,0.95,0.02,0.09
(svm_knn_mnb),breast_cancer,False,False,0.96,0.96,0.95,0.95,0.96,0.02,0.05
(svm_knn_rf)_w_opt,breast_cancer,True,True,0.96,0.96,0.95,0.96,0.96,0.02,0.89
(svm_knn_rf)_opt,breast_cancer,False,True,0.97,0.96,0.98,0.97,0.96,0.02,0.61
(svm_knn_rf)_w,breast_cancer,True,False,0.95,0.95,0.95,0.95,0.96,0.02,0.17
(svm_knn_rf),breast_cancer,False,False,0.96,0.95,0.95,0.95,0.95,0.02,0.12
(svm_knn_mlp)_w_opt,breast_cancer,True,True,0.97,0.97,0.97,0.97,0.96,0.02,0.93
(svm_knn_mlp)_opt,breast_cancer,False,True,0.97,0.97,0.97,0.97,0.95,0.02,0.43
(svm_knn_mlp)_w,breast_cancer,True,False,0.95,0.94,0.95,0.94,0.95,0.02,0.97
(svm_knn_mlp),breast_cancer,False,False,0.97,0.96,0.98,0.97,0.96,0.02,0.37
(svm_mnb_rf)_w_opt,breast_cancer,True,True,0.96,0.96,0.96,0.96,0.95,0.02,0.85
(svm_mnb_rf)_opt,breast_cancer,False,True,0.96,0.96,0.95,0.95,0.95,0.03,0.57
(svm_mnb_rf)_w,breast_cancer,True,False,0.96,0.95,0.96,0.96,0.95,0.03,0.13
(svm_mnb_rf),breast_cancer,False,False,0.96,0.96,0.96,0.96,0.96,0.02,0.09
(svm_mnb_mlp)_w_opt,breast_cancer,True,True,0.98,0.97,0.98,0.98,0.96,0.02,0.90
(svm_mnb_mlp)_opt,breast_cancer,False,True,0.94,0.94,0.93,0.94,0.96,0.02,0.31
(svm_mnb_mlp)_w,breast_cancer,True,False,0.98,0.98,0.97,0.98,0.96,0.02,0.93
(svm_mnb_mlp),breast_cancer,False,False,0.96,0.95,0.97,0.96,0.95,0.02,0.30
(svm_rf_mlp)_w_opt,breast_cancer,True,True,0.95,0.94,0.95,0.95,0.95,0.02,1.73
(svm_rf_mlp)_opt,breast_cancer,False,True,0.93,0.92,0.93,0.92,0.96,0.02,0.92
(svm_rf_mlp)_w,breast_cancer,True,False,0.96,0.96,0.94,0.95,0.95,0.02,1.03
(svm_rf_mlp),breast_cancer,False,False,0.97,0.96,0.97,0.97,0.95,0.02,0.37
(knn_mnb_rf)_w_opt,breast_cancer,True,True,0.97,0.97,0.96,0.97,0.95,0.02,0.84
(knn_mnb_rf)_opt,breast_cancer,False,True,0.96,0.97,0.95,0.96,0.96,0.02,0.59
(knn_mnb_rf)_w,breast_cancer,True,False,0.95,0.95,0.93,0.94,0.96,0.02,0.16
(knn_mnb_rf),breast_cancer,False,False,0.95,0.95,0.95,0.95,0.95,0.02,0.12
(knn_mnb_mlp)_w_opt,breast_cancer,True,True,0.95,0.95,0.94,0.94,0.95,0.02,0.91
(knn_mnb_mlp)_opt,breast_cancer,False,True,0.98,0.98,0.97,0.98,0.96,0.02,0.33
(knn_mnb_mlp)_w,breast_cancer,True,False,0.98,0.97,0.98,0.98,0.95,0.02,0.92
(knn_mnb_mlp),breast_cancer,False,False,0.96,0.95,0.96,0.95,0.96,0.02,0.33
(knn_rf_mlp)_w_opt,breast_cancer,True,True,0.94,0.92,0.95,0.94,0.95,0.03,1.67
(knn_rf_mlp)_opt,breast_cancer,False,True,0.95,0.95,0.94,0.95,0.96,0.02,0.86
(knn_rf_mlp)_w,breast_cancer,True,False,0.93,0.91,0.93,0.92,0.95,0.02,1.02
(knn_rf_mlp),breast_cancer,False,False,0.96,0.96,0.96,0.96,0.95,0.02,0.39
(mnb_rf_mlp)_w_opt,breast_cancer,True,True,0.94,0.92,0.94,0.93,0.96,0.02,1.64
